Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
518,Entry long,2025-06-06 14:17,Long,57875.95,1,57875.95,-2489.01,-0.12,1282.3,0.06,-2238.7,-0.11,-469638.84,-4.70
519,Exit long,2025-06-09 09:31,Close entry(s) order Long,58017.35,1,58089.75,-3753.12,-0.18,3821.06,0.19,-3150.94,-0.15,-473391.97,-4.73
519,Entry long,2025-06-09 09:16,Long,58089.75,1,58089.75,-3753.12,-0.18,3821.06,0.19,-3150.94,-0.15,-473391.97,-4.73
520,Exit short,2025-06-09 14:31,Close entry(s) order Short,58137.15,1,58128.15,-1535.79,-0.08,999.65,0.05,-1198.35,-0.06,-474927.75,-4.75
520,Entry short,2025-06-09 14:11,Short,58128.15,1,58128.15,-1535.79,-0.08,999.65,0.05,-1198.35,-0.06,-474927.75,-4.75
521,Exit short,2025-06-10 10:13,Close entry(s) order Short,58026.75,1,58027.15,-1204.57,-0.06,5690.72,0.28,-770.29,-0.04,-476132.3,-4.76
521,Entry short,2025-06-10 09:18,Short,58027.15,1,58027.15,-1204.57,-0.06,5690.72,0.28,-770.29,-0.04,-476132.3,-4.76
522,Exit short,2025-06-10 12:33,Close entry(s) order Short,57877.55,1,57838.15,-2594.01,-0.13,0,0.00,-2602.3,-0.13,-478726.3,-4.79
522,Entry short,2025-06-10 11:34,Short,57838.15,1,57838.15,-2594.01,-0.13,0,0.00,-2602.3,-0.13,-478726.3,-4.79
523,Exit long,2025-06-10 13:22,Close entry(s) order Long,57908.55,1,57911.35,-1314.11,-0.06,2044.93,0.10,-895.07,-0.04,-480040.44,-4.80
523,Entry long,2025-06-10 12:44,Long,57911.35,1,57911.35,-1314.11,-0.06,2044.93,0.10,-895.07,-0.04,-480040.44,-4.80
524,Exit short,2025-06-10 15:10,Close entry(s) order Short,57905.95,1,57871.75,-2412.67,-0.12,533.35,0.03,-1811.65,-0.09,-482453.1,-4.82
524,Entry short,2025-06-10 14:56,Short,57871.75,1,57871.75,-2412.67,-0.12,533.35,0.03,-1811.65,-0.09,-482453.1,-4.82
525,Exit short,2025-06-11 09:18,Close entry(s) order Short,57881.35,1,57832.35,-2929.99,-0.14,2024.76,0.10,-2385.24,-0.12,-485383.1,-4.85
525,Entry short,2025-06-10 15:28,Short,57832.35,1,57832.35,-2929.99,-0.14,2024.76,0.10,-2385.24,-0.12,-485383.1,-4.85
526,Exit short,2025-06-11 09:55,Close entry(s) order Short,57813.55,1,57737.15,-3887.28,-0.19,548.76,0.03,-3581.24,-0.18,-489270.38,-4.89
526,Entry short,2025-06-11 09:46,Short,57737.15,1,57737.15,-3887.28,-0.19,548.76,0.03,-3581.24,-0.18,-489270.38,-4.89
527,Exit long,2025-06-11 12:31,Close entry(s) order Long,57976.55,1,57937.95,133.9,0.01,2793.65,0.14,-1161.35,-0.06,-489136.47,-4.89
527,Entry long,2025-06-11 10:44,Long,57937.95,1,57937.95,133.9,0.01,2793.65,0.14,-1161.35,-0.06,-489136.47,-4.89
528,Exit short,2025-06-11 12:56,Close entry(s) order Short,57970.15,1,57932.15,-2546.97,-0.13,0,0.00,-2428.29,-0.12,-491683.44,-4.92
528,Entry short,2025-06-11 12:41,Short,57932.15,1,57932.15,-2546.97,-0.13,0,0.00,-2428.29,-0.12,-491683.44,-4.92
529,Exit short,2025-06-11 15:11,Close entry(s) order Short,57762.15,1,57927.55,4574.26,0.23,8491.76,0.42,-1077.24,-0.05,-487109.2,-4.87
529,Entry short,2025-06-11 13:13,Short,57927.55,1,57927.55,4574.26,0.23,8491.76,0.42,-1077.24,-0.05,-487109.2,-4.87
530,Exit long,2025-06-12 09:41,Close entry(s) order Long,57727.15,1,57818.95,-4426.23,-0.22,120.9,0.01,-4156.1,-0.21,-491535.44,-4.92
530,Entry long,2025-06-12 09:33,Long,57818.95,1,57818.95,-4426.23,-0.22,120.9,0.01,-4156.1,-0.21,-491535.44,-4.92
