Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1180,Entry long,2025-01-12 23:12,Long,95226,1,95226,-233.08,-0.24,23.43,0.02,-207.07,-0.22,-68686.56,-0.69
1181,Exit short,2025-01-13 02:58,Close entry(s) order Short,94589,1,94893.5,247.66,0.26,529.53,0.56,-157.47,-0.17,-68438.91,-0.68
1181,Entry short,2025-01-13 00:15,Short,94893.5,1,94893.5,247.66,0.26,529.53,0.56,-157.47,-0.17,-68438.91,-0.68
1182,Exit short,2025-01-13 04:43,Close entry(s) order Short,94160,1,94324.5,107.95,0.11,560.7,0.59,-63.8,-0.07,-68330.95,-0.68
1182,Entry short,2025-01-13 03:19,Short,94324.5,1,94324.5,107.95,0.11,560.7,0.59,-63.8,-0.07,-68330.95,-0.68
1183,Exit long,2025-01-13 06:44,Close entry(s) order Long,95048.5,1,94385,606.67,0.64,1502.18,1.59,-75.82,-0.08,-67724.28,-0.68
1183,Entry long,2025-01-13 05:08,Long,94385,1,94385,606.67,0.64,1502.18,1.59,-75.82,-0.08,-67724.28,-0.68
1184,Exit short,2025-01-13 08:58,Close entry(s) order Short,94226,1,94042,-240.48,-0.26,161.79,0.17,-450.71,-0.48,-67964.77,-0.68
1184,Entry short,2025-01-13 07:20,Short,94042,1,94042,-240.48,-0.26,161.79,0.17,-450.71,-0.48,-67964.77,-0.68
1185,Exit long,2025-01-13 10:33,Close entry(s) order Long,94390,1,94439.5,-106.15,-0.11,410.17,0.43,-92.83,-0.10,-68070.91,-0.68
1185,Entry long,2025-01-13 09:40,Long,94439.5,1,94439.5,-106.15,-0.11,410.17,0.43,-92.83,-0.10,-68070.91,-0.68
1186,Exit short,2025-01-13 13:06,Close entry(s) order Short,93823.5,1,94086,206.13,0.22,830.77,0.88,-240.23,-0.26,-67864.78,-0.68
1186,Entry short,2025-01-13 11:10,Short,94086,1,94086,206.13,0.22,830.77,0.88,-240.23,-0.26,-67864.78,-0.68
1187,Exit short,2025-01-13 17:41,Close entry(s) order Short,91216.5,1,93196.5,1924.68,2.06,2667.54,2.86,-144.96,-0.16,-65940.11,-0.66
1187,Entry short,2025-01-13 13:51,Short,93196.5,1,93196.5,1924.68,2.06,2667.54,2.86,-144.96,-0.16,-65940.11,-0.66
1188,Exit short,2025-01-13 18:36,Close entry(s) order Short,91027.5,1,90407,-674.93,-0.75,115.38,0.13,-694.12,-0.77,-66615.04,-0.67
1188,Entry short,2025-01-13 18:08,Short,90407,1,90407,-674.93,-0.75,115.38,0.13,-694.12,-0.77,-66615.04,-0.67
1189,Exit long,2025-01-13 19:18,Close entry(s) order Long,91004.5,1,91462.5,-512.74,-0.56,266.06,0.29,-508.44,-0.56,-67127.78,-0.67
1189,Entry long,2025-01-13 18:46,Long,91462.5,1,91462.5,-512.74,-0.56,266.06,0.29,-508.44,-0.56,-67127.78,-0.67
1190,Exit short,2025-01-13 20:11,Close entry(s) order Short,90585.5,1,90130,-509.71,-0.57,1094.46,1.21,-588.54,-0.65,-67637.49,-0.68
1190,Entry short,2025-01-13 20:04,Short,90130,1,90130,-509.71,-0.57,1094.46,1.21,-588.54,-0.65,-67637.49,-0.68
